"#This table contains the distance to pathways and flow value of 500 cohorts of random points and archaeological sites. This table is used in the ""evaluation"" R script ",,,,,,,
rdm_distance_mean,rdm_flow_mean,sites_flow_mean,sites_distance_mean,cropland_flow_mean,cropland_distance_mean,non_cropland_flow_mean,non_cropland_distance_mean
2.07E+01,12808431.26,41865405.37,8.785942063,23313361.34,6.04,62037715.2,11.7
2.15E+01,12443139.04,,,,,,
2.11E+01,4803347.053,,,,,,
2.10E+01,17082833.2,,,,,,
2.09E+01,7879049.627,,,,,,
2.07E+01,24995296.98,,,,,,
2.15E+01,23536551.96,,,,,,
2.08E+01,14679174.15,,,,,,
2.13E+01,18424263.01,,,,,,
2.26E+01,25441860.06,,,,,,
2.13E+01,3640343.269,,,,,,
2.06E+01,22408244.23,,,,,,
2.21E+01,15506272.67,,,,,,
2.07E+01,12274600.27,,,,,,
2.17E+01,5895639.841,,,,,,
2.19E+01,19143008.48,,,,,,
2.16E+01,20754780.34,,,,,,
2.14E+01,4610271.695,,,,,,
2.10E+01,17354133.5,,,,,,
2.06E+01,9344734.711,,,,,,
2.14E+01,4685782.208,,,,,,
2.18E+01,6827217.892,,,,,,
2.18E+01,48042823.2,,,,,,
2.12E+01,11526750.37,,,,,,
2.07E+01,22026688.96,,,,,,
2.09E+01,26877215.3,,,,,,
2.13E+01,14421652.65,,,,,,
2.20E+01,30168758.52,,,,,,
2.10E+01,12853520.61,,,,,,
2.09E+01,20370437.62,,,,,,
2.28E+01,32485095.32,,,,,,
2.09E+01,14938782.92,,,,,,
2.15E+01,10562136.26,,,,,,
2.17E+01,30031715.03,,,,,,
2.13E+01,16468575.22,,,,,,
2.13E+01,8010273.865,,,,,,
2.13E+01,9520170.584,,,,,,
2.06E+01,22089877.66,,,,,,
2.11E+01,27505246.09,,,,,,
2.14E+01,19797684.46,,,,,,
2.04E+01,8974446.85,,,,,,
2.03E+01,20606572.98,,,,,,
2.17E+01,9381360.316,,,,,,
2.15E+01,14536573.15,,,,,,
2.13E+01,25870047.56,,,,,,
2.12E+01,22003549.71,,,,,,
2.18E+01,6609537.011,,,,,,
2.15E+01,15283893.35,,,,,,
2.12E+01,18510433.52,,,,,,
2.16E+01,24186336.18,,,,,,
2.15E+01,8307652.552,,,,,,
2.02E+01,6955156.325,,,,,,
2.18E+01,23227135.44,,,,,,
2.12E+01,6117282.498,,,,,,
2.20E+01,11097684.76,,,,,,
2.16E+01,13134010.6,,,,,,
2.10E+01,4648694.953,,,,,,
2.07E+01,11799778.52,,,,,,
2.16E+01,17609139.69,,,,,,
2.20E+01,23906902.09,,,,,,
2.08E+01,7574130.508,,,,,,
2.08E+01,14887603.19,,,,,,
2.23E+01,22472397.92,,,,,,
2.11E+01,25173293.79,,,,,,
2.20E+01,12051500.53,,,,,,
2.20E+01,25621476.06,,,,,,
2.11E+01,24599972.94,,,,,,
2.14E+01,28294254.11,,,,,,
2.16E+01,13737147.25,,,,,,
2.19E+01,4781801.417,,,,,,
2.07E+01,21791030.83,,,,,,
2.05E+01,20409284,,,,,,
2.18E+01,20176958.16,,,,,,
2.18E+01,3006285.777,,,,,,
2.07E+01,19421845.83,,,,,,
2.23E+01,7102413.014,,,,,,
2.16E+01,10713752.73,,,,,,
2.17E+01,22466900.3,,,,,,
2.06E+01,15732407.53,,,,,,
2.17E+01,11076940.25,,,,,,
2.08E+01,11627906.13,,,,,,
2.09E+01,3949396.198,,,,,,
2.06E+01,30892206,,,,,,
2.14E+01,24508693.7,,,,,,
2.23E+01,17345957.98,,,,,,
2.21E+01,11743112.65,,,,,,
2.17E+01,29192660.24,,,,,,
2.20E+01,12582002.16,,,,,,
2.15E+01,12912765.66,,,,,,
2.19E+01,37993599.16,,,,,,
2.19E+01,11855602.12,,,,,,
2.13E+01,17282320.92,,,,,,
2.18E+01,19236503.6,,,,,,
2.24E+01,11025204.04,,,,,,
2.13E+01,10428739.68,,,,,,
2.25E+01,9678159.928,,,,,,
2.16E+01,10852856.72,,,,,,
2.21E+01,15206979.13,,,,,,
2.13E+01,14309706.92,,,,,,
2.17E+01,9282671.824,,,,,,
21.45501275,1.81E+07,,,,,,
21.28244286,3637168.322,,,,,,
23.62512706,7715618.883,,,,,,
21.05439145,17542803,,,,,,
21.72840721,41419112.62,,,,,,
21.17568951,42659629.96,,,,,,
21.5756556,40868370.96,,,,,,
22.43035851,9276885.75,,,,,,
21.0809596,14994069.91,,,,,,
21.9180801,31497929.34,,,,,,
22.47647524,3132312.276,,,,,,
21.64446262,25014103.23,,,,,,
21.62999279,21985711.06,,,,,,
21.86360389,24450682.26,,,,,,
21.61827061,6380053.395,,,,,,
21.99076885,20447750.43,,,,,,
22.13497165,20506868.89,,,,,,
21.48613985,14990156.37,,,,,,
21.63711449,16929582.78,,,,,,
20.29064669,11159095.64,,,,,,
21.16056288,14436922.22,,,,,,
20.39441534,17408538.4,,,,,,
20.74944351,17709180.85,,,,,,
21.53453827,29925851.62,,,,,,
21.80503562,20260707.94,,,,,,
22.28272237,5966175.127,,,,,,
21.38361742,13255712.75,,,,,,
21.4778555,24184278.34,,,,,,
21.66156069,25330893.93,,,,,,
21.7606666,28398265.55,,,,,,
21.11583121,4254797.599,,,,,,
21.94504252,19929341.76,,,,,,
20.77637671,22613365.73,,,,,,
21.6653113,25878003.29,,,,,,
21.85775427,34826504.52,,,,,,
22.54370624,25624635.97,,,,,,
21.41744517,6820873.755,,,,,,
21.5905104,17767111.43,,,,,,
21.44638572,15909197.06,,,,,,
21.2957352,10539259.08,,,,,,
21.54758716,20177296.61,,,,,,
21.95033225,11685803.68,,,,,,
21.82259592,3447343.712,,,,,,
21.80660183,12783195.47,,,,,,
20.33139468,23222911.97,,,,,,
20.79999319,24276877.07,,,,,,
21.44575996,21877375.55,,,,,,
21.94450277,33919251.41,,,,,,
22.93171276,18192421.42,,,,,,
20.98643237,26317976.26,,,,,,
21.58946701,29869689.56,,,,,,
21.57496477,9366217.501,,,,,,
21.42532268,6772718.633,,,,,,
20.95975858,31263039.03,,,,,,
21.8436846,36388923.42,,,,,,
20.63984921,48460743.56,,,,,,
21.87402332,30823281.81,,,,,,
19.91311451,4873029.123,,,,,,
21.46331416,20459870.12,,,,,,
21.7500688,11510624.88,,,,,,
20.6256403,28672625.11,,,,,,
20.57436009,8918543.541,,,,,,
20.71580726,26617948.09,,,,,,
21.56305602,19120544.54,,,,,,
23.16818378,26164761.56,,,,,,
20.46594821,8133697.152,,,,,,
20.85829902,10437155.27,,,,,,
21.17069921,20487345.29,,,,,,
21.09567999,15209228.15,,,,,,
20.68741082,14862108.94,,,,,,
20.91931029,2832444.709,,,,,,
21.87730619,17374737.53,,,,,,
21.79955803,5622694.149,,,,,,
21.34976178,20229918.31,,,,,,
22.07802907,22492075.02,,,,,,
19.7727693,4860521.944,,,,,,
20.3984088,6587912.001,,,,,,
20.64753949,13774324.69,,,,,,
21.01156556,22586855.61,,,,,,
21.24431567,17471794.4,,,,,,
20.6299008,13078618.56,,,,,,
21.11226777,13278629.94,,,,,,
22.48096758,20774843.51,,,,,,
21.52256565,7237736.526,,,,,,
21.60660266,11921806.66,,,,,,
